数据类型,订单号,采购单号,物料ID,供应商代码,变更类型,原交付日期,新交付日期,变更天数,变更原因,变更来源,变更时间
交期变更记录,SO-2026-06540,PO20270200056,P0006,SUP008,物料短缺,2027/2/7,2027/2/1,-6,PCB板交期延长,供应商,2027/1/30
交期变更记录,SO-2026-00124,PO20260900057,P0024,SUP018,物流问题,2026/9/24,2026/10/1,7,运输车辆故障,采购员,2026/8/26
交期变更记录,SO-2026-06355,,P0010,SUP017,供应商延期,2026/12/6,2026/12/20,14,物流受阻导致原料延迟到厂,计划员,2026/12/4
交期变更记录,SO-2026-10313,,P0036,SUP027,供应商延期,2026/6/14,2026/7/1,17,恶劣天气影响运输,系统,2026/6/7
交期变更记录,SO-2026-02791,PO20270200060,P0014,SUP035,客户延后,2027/2/15,2027/3/13,26,客户仓库容量不足,系统,2027/2/9
交期变更记录,SO-2026-05124,PO20270200061,P0090,SUP037,供应商延期,2027/2/28,2027/3/1,1,原材料到货延迟,系统,2027/2/24
交期变更记录,SO-2026-08190,PO20270100062,P0080,SUP003,物料短缺,2027/1/22,2027/1/19,-3,显示屏面板缺货,系统,2027/1/5
交期变更记录,SO-2026-01623,PO20261100063,P0055,SUP027,供应商延期,2026/11/8,2026/11/18,10,恶劣天气影响运输,计划员,2026/11/3
交期变更记录,SO-2026-07356,,P0096,SUP003,物料短缺,2026/11/10,2026/10/28,-13,关键芯片供应紧张,计划员,2026/10/22
交期变更记录,SO-2026-04206,PO20260400065,P0062,SUP025,供应商延期,2026/4/25,2026/5/5,10,工人返岗率不足,系统,2026/4/17
交期变更记录,SO-2026-03050,PO20260900066,P0034,SUP010,供应商延期,2026/9/14,2026/9/15,1,设备故障维修影响产出,系统,2026/8/20
交期变更记录,SO-2026-08226,PO20260700067,P0006,SUP022,供应商延期,2026/7/5,2026/7/20,15,电力限产政策影响,系统,2026/6/15
交期变更记录,SO-2026-08771,PO20260900068,P0013,SUP022,供应商延期,2026/9/23,2026/10/4,11,恶劣天气影响运输,系统,2026/9/5
交期变更记录,SO-2026-10684,PO20260600069,P0018,SUP006,供应商提前,2026/6/12,2026/6/11,-1,供应商备货充足提前发货,供应商,2026/6/9
交期变更记录,SO-2026-12663,,P0080,SUP036,供应商延期,2026/6/14,2026/6/26,12,物流运输途中延误,系统,2026/6/1
交期变更记录,SO-2026-06058,,P0007,SUP005,供应商延期,2026/10/24,2026/10/27,3,春节假期停工导致产能不足,采购员,2026/10/17
交期变更记录,SO-2026-02677,PO20270100072,P0037,SUP013,供应商延期,2027/1/16,2027/1/22,6,环保检查停产整顿,采购员,2026/12/23
交期变更记录,SO-2026-09384,PO20260800073,P0018,SUP013,供应商延期,2026/8/5,2026/8/13,8,物流运输途中延误,计划员,2026/7/22
交期变更记录,SO-2026-02131,PO20260700074,P0083,SUP002,供应商延期,2026/7/8,2026/7/12,4,恶劣天气影响运输,系统,2026/6/24
交期变更记录,SO-2026-02278,PO20261000075,P0087,SUP035,供应商延期,2026/10/2,2026/10/15,13,原材料到货延迟,系统,2026/9/3
交期变更记录,SO-2026-11505,PO20260600076,P0087,SUP021,客户延后,2026/6/14,2026/7/9,25,客户资金安排调整,计划员,2026/6/5
交期变更记录,SO-2026-04406,,P0042,SUP004,供应商延期,2027/3/12,2027/3/31,19,供应商产线故障维修,系统,2027/2/24
交期变更记录,SO-2026-13851,PO20260800078,P0060,SUP005,供应商延期,2026/8/19,2026/8/29,10,质量检验不合格返工,计划员,2026/8/9
交期变更记录,SO-2026-08857,,P0079,SUP004,供应商延期,2026/6/24,2026/7/5,11,设备故障维修影响产出,系统,2026/6/18
交期变更记录,SO-2026-06123,PO20270500080,P0056,SUP018,供应商延期,2027/5/1,2027/5/19,18,工人返岗率不足,系统,2027/4/6
交期变更记录,SO-2026-11721,,P0083,SUP013,供应商延期,2026/7/26,2026/8/1,6,环保检查停产整顿,系统,2026/7/18
交期变更记录,SO-2026-05682,PO20270200082,P0096,SUP009,供应商延期,2027/2/12,2027/2/13,1,供应商产线故障维修,系统,2027/1/14
交期变更记录,SO-2026-04525,,P0099,SUP015,供应商延期,2026/8/3,2026/8/4,1,供应商原材料短缺,系统,2026/7/31
交期变更记录,SO-2026-04458,PO20270100084,P0046,SUP028,客户加急,2027/1/11,2026/12/28,-14,客户生产线紧急启动,系统,2027/1/10
交期变更记录,SO-2026-09077,PO20261000085,P0032,SUP010,供应商延期,2026/10/5,2026/10/19,14,春节假期停工导致产能不足,系统,2026/9/24
交期变更记录,SO-2026-12836,,P0023,SUP012,供应商延期,2026/6/11,2026/6/13,2,上游芯片短缺传导影响,采购员,2026/6/8
交期变更记录,SO-2026-09178,PO20270100087,P0073,SUP015,供应商提前,2027/1/27,2027/1/21,-6,供应商备货充足提前发货,计划员,2026/12/31
交期变更记录,SO-2026-03700,,P0070,SUP002,供应商延期,2026/10/16,2026/10/24,8,设备故障维修影响产出,系统,2026/9/28
交期变更记录,SO-2026-00741,,P0090,SUP002,供应商延期,2026/8/30,2026/9/2,3,物流受阻导致原料延迟到厂,采购员,2026/8/8
交期变更记录,SO-2026-00148,PO20260700090,P0029,SUP004,物流问题,2026/7/3,2026/7/10,7,港口拥堵导致船期延误,系统,2026/6/4
交期变更记录,SO-2026-03067,PO20261100091,P0097,SUP035,客户加急,2026/11/30,2026/11/19,-11,客户展会提前需要,系统,2026/11/14
交期变更记录,SO-2026-12019,PO20260900092,P0090,SUP032,客户加急,2026/9/9,2026/9/5,-4,客户生产线紧急启动,系统,2026/8/20
交期变更记录,SO-2026-11248,PO20260600093,P0091,SUP012,物流问题,2026/6/15,2026/6/27,12,港口拥堵导致船期延误,系统,2026/5/25
交期变更记录,SO-2026-00785,,P0098,SUP029,供应商延期,2026/7/31,2026/8/18,18,恶劣天气影响运输,采购员,2026/7/20
交期变更记录,SO-2026-03968,,P0022,SUP012,供应商延期,2026/8/21,2026/8/24,3,原材料到货延迟,系统,2026/8/2
交期变更记录,SO-2026-12427,PO20260600096,P0016,SUP025,物流问题,2026/6/14,2026/6/22,8,运输车辆故障,系统,2026/5/15
交期变更记录,SO-2026-08971,PO20260300097,P0022,SUP016,供应商延期,2026/3/8,2026/3/13,5,质量检验不合格返工,系统,2026/2/11
交期变更记录,SO-2026-12272,,P0078,SUP012,供应商提前,2026/7/31,2026/7/30,-1,供应商产能释放提前,系统,2026/7/29
交期变更记录,SO-2026-13193,,P0014,SUP033,供应商延期,2026/6/12,2026/6/27,15,原材料供应紧张导致排产延后,系统,2026/5/25
交期变更记录,SO-2026-06405,PO20261100100,P0045,SUP004,供应商延期,2026/11/30,2026/12/20,20,供应商产线故障维修,系统,2026/11/28
交期变更记录,SO-2026-01827,PO20270100101,P0035,SUP019,物料短缺,2027/1/10,2027/1/2,-8,PCB板交期延长,系统,2026/12/29
交期变更记录,SO-2026-07539,PO20260600102,P0038,SUP017,供应商延期,2026/6/18,2026/7/8,20,物流受阻导致原料延迟到厂,系统,2026/5/25
交期变更记录,SO-2026-12426,PO20260600103,P0015,SUP008,物料短缺,2026/6/15,2026/6/12,-3,PCB板交期延长,计划员,2026/5/17
交期变更记录,SO-2026-02708,,P0067,SUP017,供应商延期,2026/8/28,2026/9/10,13,恶劣天气影响运输,系统,2026/8/27
交期变更记录,SO-2026-07823,,P0026,SUP010,供应商延期,2026/5/3,2026/5/13,10,供应商原材料短缺,计划员,2026/4/11
交期变更记录,SO-2026-12884,PO20260600106,P0028,SUP025,供应商延期,2026/6/14,2026/6/23,9,质量检验不合格返工,系统,2026/5/21
交期变更记录,SO-2026-11057,PO20260600107,P0076,SUP035,客户加急,2026/6/12,2026/6/8,-4,终端市场需求激增,系统,2026/6/2
交期变更记录,SO-2026-06302,PO20260700108,P0065,SUP020,供应商延期,2026/7/10,2026/7/11,1,恶劣天气影响运输,采购员,2026/6/21
交期变更记录,SO-2026-07762,PO20260600109,P0100,SUP018,物料短缺,2026/6/27,2026/6/12,-15,PCB板交期延长,采购员,2026/6/15
交期变更记录,SO-2026-06388,PO20270100110,P0071,SUP033,客户加急,2027/1/29,2027/1/20,-9,客户展会提前需要,系统,2027/1/1
交期变更记录,SO-2026-03605,,P0051,SUP032,供应商延期,2026/12/16,2026/12/31,15,电力限产政策影响,系统,2026/11/25
交期变更记录,SO-2026-03100,PO20260600112,P0055,SUP021,客户加急,2026/6/16,2026/6/3,-13,客户生产线紧急启动,系统,2026/5/17
交期变更记录,SO-2026-04480,,P0028,SUP011,供应商延期,2026/9/29,2026/10/10,11,工人返岗率不足,采购员,2026/9/28
交期变更记录,SO-2026-12130,PO20260700114,P0084,SUP023,供应商延期,2026/7/7,2026/7/20,13,产能已被其他大客户占用,采购员,2026/7/2
交期变更记录,SO-2026-09003,PO20260700115,P0023,SUP037,供应商延期,2026/7/19,2026/7/31,12,电力限产政策影响,系统,2026/7/9
交期变更记录,SO-2026-07931,,P0063,SUP027,供应商延期,2027/1/10,2027/1/21,11,工人返岗率不足,系统,2026/12/30
交期变更记录,SO-2026-10657,,P0094,SUP026,物流问题,2026/6/14,2026/6/28,14,空运舱位不足改海运,计划员,2026/5/21
交期变更记录,SO-2026-12298,,P0080,SUP027,物流问题,2026/7/16,2026/7/29,13,运输车辆故障,计划员,2026/7/10
交期变更记录,SO-2026-08464,PO20260600119,P0082,SUP005,供应商延期,2026/6/22,2026/7/5,13,物流运输途中延误,系统,2026/6/21
交期变更记录,SO-2026-06785,,P0099,SUP022,客户加急,2026/4/23,2026/4/16,-7,终端市场需求激增,系统,2026/4/15
交期变更记录,SO-2026-00950,,P0072,SUP003,客户加急,2026/7/9,2026/7/6,-3,终端客户大促活动提前,系统,2026/6/11
交期变更记录,SO-2026-11860,PO20260800122,P0015,SUP005,供应商延期,2026/8/29,2026/9/4,6,供应商产线故障维修,系统,2026/8/24
交期变更记录,SO-2026-11957,PO20260700123,P0006,SUP005,供应商延期,2026/7/31,2026/8/6,6,物流运输途中延误,系统,2026/7/1
交期变更记录,SO-2026-08999,PO20261200124,P0008,SUP024,物料短缺,2026/12/21,2026/12/17,-4,电子元器件市场缺货,计划员,2026/12/3
交期变更记录,SO-2026-01064,PO20261100125,P0034,SUP020,供应商延期,2026/11/26,2026/12/9,13,供应商产线故障维修,采购员,2026/11/22
交期变更记录,SO-2026-07485,PO20260800126,P0084,SUP036,供应商延期,2026/8/28,2026/9/6,9,供应商原材料短缺,系统,2026/8/18
交期变更记录,SO-2026-10439,,P0012,SUP001,物流问题,2026/6/12,2026/6/25,13,跨境物流清关延迟,系统,2026/5/13
交期变更记录,SO-2026-10535,PO20260600128,P0016,SUP029,供应商延期,2026/6/11,2026/6/27,16,恶劣天气影响运输,系统,2026/5/31
交期变更记录,SO-2026-13896,,P0092,SUP026,供应商延期,2026/8/22,2026/9/4,13,供应商原材料短缺,计划员,2026/7/28
交期变更记录,SO-2026-13652,PO20260700130,P0080,SUP028,客户加急,2026/7/21,2026/7/15,-6,终端市场需求激增,系统,2026/7/15
交期变更记录,SO-2026-07794,PO20260800131,P0075,SUP028,供应商延期,2026/8/30,2026/9/4,5,产能已被其他大客户占用,计划员,2026/8/24
交期变更记录,SO-2026-08531,,P0089,SUP003,供应商延期,2026/6/16,2026/6/19,3,物流运输途中延误,系统,2026/5/21
交期变更记录,SO-2026-09564,PO20260300133,P0015,SUP032,供应商提前,2026/3/20,2026/3/15,-5,供应商备货充足提前发货,系统,2026/2/25
交期变更记录,SO-2026-00939,PO20260400134,P0074,SUP031,物料短缺,2026/4/4,2026/3/21,-14,电子元器件市场缺货,系统,2026/3/10
交期变更记录,SO-2026-05707,PO20260300135,P0037,SUP018,供应商延期,2026/3/13,2026/4/2,20,供应商产线故障维修,计划员,2026/2/24
交期变更记录,SO-2026-03393,,P0080,SUP036,客户加急,2026/8/9,2026/7/26,-14,终端市场需求激增,计划员,2026/7/26
交期变更记录,SO-2026-04255,,P0046,SUP001,供应商延期,2026/8/24,2026/8/30,6,产能已被其他大客户占用,系统,2026/7/31
交期变更记录,SO-2026-08727,PO20270100138,P0063,SUP013,供应商延期,2027/1/18,2027/1/29,11,质量检验不合格返工,系统,2027/1/17
交期变更记录,SO-2026-13386,PO20260800139,P0083,SUP021,供应商延期,2026/8/9,2026/8/11,2,物流运输途中延误,计划员,2026/7/23
交期变更记录,SO-2026-06836,PO20261200140,P0051,SUP001,物料短缺,2026/12/14,2026/12/7,-7,PCB板交期延长,系统,2026/11/17
交期变更记录,SO-2026-10062,PO20260600141,P0089,SUP037,物流问题,2026/6/10,2026/6/15,5,港口拥堵导致船期延误,采购员,2026/5/28
交期变更记录,SO-2026-07120,PO20261200142,P0026,SUP011,供应商延期,2026/12/24,2027/1/7,14,供应商原材料短缺,供应商,2026/11/26
交期变更记录,SO-2026-10972,PO20260600143,P0050,SUP014,供应商延期,2026/6/13,2026/7/1,18,供应商原材料短缺,计划员,2026/5/15
交期变更记录,SO-2026-01389,PO20270100144,P0068,SUP031,供应商提前,2027/1/22,2027/1/16,-6,供应商备货充足提前发货,系统,2027/1/11
交期变更记录,SO-2026-02747,PO20260300145,P0023,SUP035,客户加急,2026/3/23,2026/3/18,-5,竞品上市压力,供应商,2026/3/8
交期变更记录,SO-2026-07674,PO20270100146,P0017,SUP036,供应商延期,2027/1/13,2027/1/27,14,供应商产线故障维修,计划员,2027/1/10
交期变更记录,SO-2026-13369,,P0079,SUP011,供应商延期,2026/7/13,2026/7/30,17,质量检验不合格返工,系统,2026/7/8
交期变更记录,SO-2026-10478,PO20260600148,P0097,SUP033,供应商延期,2026/6/14,2026/7/2,18,质量检验不合格返工,系统,2026/6/8
交期变更记录,SO-2026-12547,PO20260600149,P0033,SUP005,供应商延期,2026/6/11,2026/7/1,20,产能已被其他大客户占用,供应商,2026/5/17
交期变更记录,SO-2026-04942,PO20261100150,P0078,SUP002,客户加急,2026/11/11,2026/11/7,-4,竞品上市压力,系统,2026/11/7
交期变更记录,SO-2026-07920,PO20261100151,P0088,SUP024,客户加急,2026/11/25,2026/11/16,-9,终端市场需求激增,系统,2026/10/27
交期变更记录,SO-2026-13758,PO20260800152,P0088,SUP007,供应商提前,2026/8/17,2026/8/14,-3,供应商优化排产,计划员,2026/8/14
交期变更记录,SO-2026-06456,PO20260600153,P0095,SUP029,客户加急,2026/6/25,2026/6/17,-8,客户展会提前需要,系统,2026/6/8
交期变更记录,SO-2026-09468,PO20260700154,P0069,SUP027,客户加急,2026/7/31,2026/7/21,-10,项目验收节点提前,计划员,2026/7/13
交期变更记录,SO-2026-01696,,P0002,SUP032,客户加急,2026/5/18,2026/5/8,-10,客户展会提前需要,供应商,2026/4/21
交期变更记录,SO-2026-03127,PO20261100156,P0092,SUP026,客户加急,2026/11/9,2026/11/5,-4,竞品上市压力,计划员,2026/10/15
交期变更记录,SO-2026-07741,PO20270200157,P0045,SUP037,供应商延期,2027/2/8,2027/2/20,12,工人返岗率不足,计划员,2027/2/1
交期变更记录,SO-2026-11365,PO20260600158,P0100,SUP037,供应商延期,2026/6/15,2026/7/2,17,设备故障维修影响产出,供应商,2026/6/7
交期变更记录,SO-2026-11266,PO20260600159,P0074,SUP028,客户加急,2026/6/12,2026/6/7,-5,客户展会提前需要,系统,2026/5/19
交期变更记录,SO-2026-13911,PO20260800160,P0039,SUP002,供应商延期,2026/8/17,2026/8/22,5,恶劣天气影响运输,采购员,2026/7/28
交期变更记录,SO-2026-06650,,P0046,SUP020,供应商延期,2026/6/10,2026/6/29,19,恶劣天气影响运输,系统,2026/5/28
交期变更记录,SO-2026-12900,PO20260600162,P0088,SUP001,供应商延期,2026/6/11,2026/6/29,18,恶劣天气影响运输,供应商,2026/5/20
交期变更记录,SO-2026-10580,PO20260600163,P0045,SUP023,供应商延期,2026/6/17,2026/7/5,18,物流运输途中延误,系统,2026/6/14
交期变更记录,SO-2026-11521,PO20260600164,P0032,SUP033,供应商提前,2026/6/14,2026/6/8,-6,供应商产能释放提前,计划员,2026/6/6
交期变更记录,SO-2026-03919,PO20270500165,P0077,SUP034,供应商延期,2027/5/11,2027/5/26,15,原材料供应紧张导致排产延后,系统,2027/4/17
交期变更记录,SO-2026-08000,PO20270200166,P0036,SUP007,供应商延期,2027/2/20,2027/3/10,18,物流运输途中延误,采购员,2027/2/2
交期变更记录,SO-2026-05241,,P0054,SUP021,供应商延期,2026/10/28,2026/11/7,10,产能已被其他大客户占用,系统,2026/10/11
交期变更记录,SO-2026-12230,PO20260800168,P0042,SUP021,物流问题,2026/8/21,2026/8/24,3,港口拥堵导致船期延误,计划员,2026/8/19
交期变更记录,SO-2026-09792,,P0045,SUP030,供应商延期,2026/7/12,2026/7/17,5,供应商原材料短缺,采购员,2026/6/22
交期变更记录,SO-2026-06827,,P0096,SUP035,物料短缺,2026/5/7,2026/4/22,-15,显示屏面板缺货,系统,2026/5/3
交期变更记录,SO-2026-10299,PO20260600171,P0065,SUP036,物流问题,2026/6/13,2026/6/16,3,空运舱位不足改海运,采购员,2026/5/18
交期变更记录,SO-2026-07384,PO20261000172,P0043,SUP020,供应商延期,2026/10/25,2026/11/10,16,质量检验不合格返工,系统,2026/10/1
交期变更记录,SO-2026-04916,PO20260400173,P0005,SUP036,供应商延期,2026/4/23,2026/4/27,4,质量检验不合格返工,系统,2026/3/24
交期变更记录,SO-2026-13927,PO20260700174,P0076,SUP024,供应商提前,2026/7/29,2026/7/28,-1,供应商产能释放提前,系统,2026/7/27
交期变更记录,SO-2026-03132,PO20261200175,P0039,SUP025,客户加急,2026/12/29,2026/12/25,-4,竞品上市压力,系统,2026/11/30
交期变更记录,SO-2026-09113,PO20261100176,P0008,SUP023,物料短缺,2026/11/11,2026/11/5,-6,关键芯片供应紧张,系统,2026/10/30
交期变更记录,SO-2026-12601,,P0016,SUP036,供应商延期,2026/6/14,2026/6/18,4,质量检验不合格返工,系统,2026/5/27
交期变更记录,SO-2026-07264,PO20261000178,P0049,SUP028,客户加急,2026/10/12,2026/10/1,-11,客户展会提前需要,采购员,2026/9/26
交期变更记录,SO-2026-11207,PO20260600179,P0011,SUP008,物料短缺,2026/6/13,2026/5/29,-15,PCB板交期延长,系统,2026/5/23
交期变更记录,SO-2026-05757,PO20261200180,P0046,SUP008,物流问题,2026/12/22,2026/12/25,3,空运舱位不足改海运,采购员,2026/11/23
交期变更记录,SO-2026-11678,,P0013,SUP015,客户加急,2026/7/2,2026/6/17,-15,客户生产线紧急启动,系统,2026/6/23
交期变更记录,SO-2026-05189,PO20261000182,P0014,SUP003,供应商延期,2026/10/18,2026/11/7,20,物流运输途中延误,系统,2026/10/4
交期变更记录,SO-2026-02953,,P0059,SUP024,供应商延期,2027/2/23,2027/3/8,13,原材料到货延迟,采购员,2027/1/28
交期变更记录,SO-2026-12190,PO20260700184,P0067,SUP021,物流问题,2026/7/18,2026/7/22,4,跨境物流清关延迟,系统,2026/7/13
交期变更记录,SO-2026-04777,,P0036,SUP012,供应商延期,2027/5/8,2027/5/22,14,上游芯片短缺传导影响,计划员,2027/5/7
交期变更记录,SO-2026-03218,PO20260700186,P0019,SUP019,供应商延期,2026/7/29,2026/8/5,7,原材料到货延迟,系统,2026/7/19
交期变更记录,SO-2026-08398,PO20270300187,P0092,SUP020,供应商延期,2027/3/8,2027/3/21,13,产能已被其他大客户占用,计划员,2027/2/28
交期变更记录,SO-2026-00599,,P0047,SUP011,客户加急,2026/9/7,2026/8/28,-10,终端市场需求激增,供应商,2026/8/27
交期变更记录,SO-2026-02670,,P0091,SUP009,供应商延期,2027/1/27,2027/1/30,3,设备故障维修影响产出,供应商,2027/1/21
交期变更记录,SO-2026-04538,,P0089,SUP004,客户加急,2026/8/11,2026/8/5,-6,终端市场需求激增,系统,2026/7/20
